Hospital Name,District,Address,Phone No,Mail-ID,Scheme,Speciality
"Trinity Hospital And
Heart Foundation",Bengaluru,"Trinity Hospital And
Heart Foundation No 27
Sri Rama Mandir Road
Bangalore South 560004",41503434,"trinityhospit
al@hotmail.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"
"Narayana Hrudayalaya
Private Limited",Bengaluru,"Narayana Hrudayalaya
Private Limited  258 A
Bommasandra Industrial
Area Anekal Taluk
Bangalore  560099",9980528300,"samconhblr
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Coch
lear Implant,Rare
and High cost
disease","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,HEA
RT TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,Acciden
t Victims,Cochlear Implant
GP,Rare Disease,TKR and
THR,RIRS procedure"
Samrudhi Eye Hospital,Bengaluru,"Samrudhi Eye Hospital
No 2 Near Fortuna Vista
Apt Kodigehalli Main
Road Thindlu
Vidyaranyapura Post
Bangalore West 560097",8042075944,"samruddhie
yehospital@
gmail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY
Samrudhi Eye Hospital,Bengaluru,"Samrudhi Eye Hospital
No 2 Near Fortuna Vista
Apt Kodigehalli Main
Road Thindlu
Vidyaranyapura Post
Bangalore West 560097",8042075944,"samruddhie
yehospital@
gmail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY
"Spine Care And Ortho
Care Hospital",Bengaluru,"Spine Care And Ortho
Care Hospital No 14 1
6Th Block Police Quarters
Junction Tollgate Magadi
Road Rajajinagar
Bangalore 560023",8023389357,"kodlady_rot
ary@rediff
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane","NEUROSURGERY,ORTHOPA
EDICS,TKR and THR"
East Point Hospital,Bengaluru,"East Point Hospital 113
Bidarahalli Virgonagara
Bangalore East 560049",8028472999,"insurance@
eastpoint.ac.
in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,COVID,Accident
Victims,TKR and THR"
"Bangalore Cancer Centre
Private Limited",Bengaluru,"118 1 2  Mookambika
Temple Road Machohalli
Forest Gate Magadi Main
Road Bangalore  560091",8028536767,"bengaluruca
ncercentre@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID"
"Spine Care And Ortho
Care Hospital",Bengaluru,"Spine Care And Ortho
Care Hospital No 14 1
6Th Block Police Quarters
Junction Tollgate Magadi
Road Rajajinagar
Bangalore 560023",8023389357,"kodlady_rot
ary@rediff
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane","NEUROSURGERY,ORTHOPA
EDICS,TKR and THR"
East Point Hospital,Bengaluru,"East Point Hospital 113
Bidarahalli Virgonagara
Bangalore East 560049",8028472999,"insurance@
eastpoint.ac.
in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
