Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Trinity Hospital And
Heart Foundation",Bengaluru,"Bengaluru
South",Bangalore,Private,"Trinity Hospital And
Heart Foundation No 27
Sri Rama Mandir Road
Bangalore South 560004",41503434,"trinityhospit
al@hotmail.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"
"Narayana Hrudayalaya
Private Limited",Bengaluru,ANEKAL,Bangalore,Private,"Narayana Hrudayalaya
Private Limited  258 A
Bommasandra Industrial
Area Anekal Taluk
Bangalore  560099",9980528300,"samconhblr
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Coch
lear Implant,Rare
and High cost
disease","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,HEA
RT TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,Acciden
t Victims,Cochlear Implant
GP,Rare Disease,TKR and
THR,RIRS procedure"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
Samrudhi Eye Hospital,Bengaluru,"BANGALO
RE",Bangalore,Private,"Samrudhi Eye Hospital
No 2 Near Fortuna Vista
Apt Kodigehalli Main
Road Thindlu
Vidyaranyapura Post
Bangalore West 560097",8042075944,"samruddhie
yehospital@
gmail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
Samrudhi Eye Hospital,Bengaluru,"BANGALO
RE",Bangalore,Private,"Samrudhi Eye Hospital
No 2 Near Fortuna Vista
Apt Kodigehalli Main
Road Thindlu
Vidyaranyapura Post
Bangalore West 560097",8042075944,"samruddhie
yehospital@
gmail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Spine Care And Ortho
Care Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Spine Care And Ortho
Care Hospital No 14 1
6Th Block Police Quarters
Junction Tollgate Magadi
Road Rajajinagar
Bangalore 560023",8023389357,"kodlady_rot
ary@rediff
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane","NEUROSURGERY,ORTHOPA
EDICS,TKR and THR"
East Point Hospital,Bengaluru,"BANGALO
RE",Bangalore,Private,"East Point Hospital 113
Bidarahalli Virgonagara
Bangalore East 560049",8028472999,"insurance@
eastpoint.ac.
in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,COVID,Accident
Victims,TKR and THR"
"Bangalore Cancer Centre
Private Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"118 1 2  Mookambika
Temple Road Machohalli
Forest Gate Magadi Main
Road Bangalore  560091",8028536767,"bengaluruca
ncercentre@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Spine Care And Ortho
Care Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Spine Care And Ortho
Care Hospital No 14 1
6Th Block Police Quarters
Junction Tollgate Magadi
Road Rajajinagar
Bangalore 560023",8023389357,"kodlady_rot
ary@rediff
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane","NEUROSURGERY,ORTHOPA
EDICS,TKR and THR"
East Point Hospital,Bengaluru,"BANGALO
RE",Bangalore,Private,"East Point Hospital 113
Bidarahalli Virgonagara
Bangalore East 560049",8028472999,"insurance@
eastpoint.ac.
in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,COVID,Accident
Victims,TKR and THR"
"Bangalore Cancer Centre
Private Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"118 1 2  Mookambika
Temple Road Machohalli
Forest Gate Magadi Main
Road Bangalore  560091",8028536767,"bengaluruca
ncercentre@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Bhagwan Mahaveer Jain
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Bhagwan Mahaveer Jain
Hospital Millers Road
Vasanthnaga Bangalore
560052",9611448800,"bmjh.mdoffi
ce@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,UROLOGY,COVID,TK
R and THR"
"Narayana Multispeciality
Hospital Whitefield",Bengaluru,"BANGALO
RE",Bangalore,Private,"Plot No 3 4 Sadarmangala
Industrial Area Bangalore
560066",8071112555,"#N/A","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,SURGICAL
ONCOLOGY,UROLOGY"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Bhagwan Mahaveer Jain
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Bhagwan Mahaveer Jain
Hospital Millers Road
Vasanthnaga Bangalore
560052",9611448800,"bmjh.mdoffi
ce@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,UROLOGY,COVID,TK
R and THR"
"Narayana Multispeciality
Hospital Whitefield",Bengaluru,"BANGALO
RE",Bangalore,Private,"Plot No 3 4 Sadarmangala
Industrial Area Bangalore
560066",8071112555,"#N/A","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,SURGICAL
ONCOLOGY,UROLOGY"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"SPARSH HOSPITAL RR
Nagar",Bengaluru,"Bengaluru
South",Bangalore,Private,"No 8 Ideal Homes HBCS
Layout  Rajarajeshwari
Nagar Bangalore South
560098",9513466026,"sast.msr@sp
arshhospital.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion","GENERAL
SURGERY,CARDIOLOGY,CA
RDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,HEART
TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,RIRS
procedure"
"Vittala International
Institute Of
Ophthalmology",Bengaluru,"BANGALO
RE",Bangalore,Private,"Vittala International
Institute Of
Ophthalmology C A  Site
No 1 2Nd Cross 2Nd
Main 7Th Block
Banashankari 3Rd Stage
Hosakerehalli Bangalore
560085",8026722214,"info@viio.o
rg","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram",OPHTHALMOLOGY
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"SPARSH HOSPITAL RR
Nagar",Bengaluru,"Bengaluru
South",Bangalore,Private,"No 8 Ideal Homes HBCS
Layout  Rajarajeshwari
Nagar Bangalore South
560098",9513466026,"sast.msr@sp
arshhospital.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion","GENERAL
SURGERY,CARDIOLOGY,CA
RDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,HEART
TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,RIRS
procedure"
"Vittala International
Institute Of
Ophthalmology",Bengaluru,"BANGALO
RE",Bangalore,Private,"Vittala International
Institute Of
Ophthalmology C A  Site
No 1 2Nd Cross 2Nd
Main 7Th Block
Banashankari 3Rd Stage
Hosakerehalli Bangalore
560085",8026722214,"info@viio.o
rg","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram",OPHTHALMOLOGY
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Rajarajeswari Medical
college And Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Rajarajeswari Medical
college And Hospital
Kambipura Mysore Road
Bangalore 560074",8028437888,"insurancema
nager@rrmc
h.org","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,CAR
DIOLOGY,CARDIOTHORACI
C
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,OPHTHALMOLOGY,ORT
HOPAEDICS,POLYTRAUMA,
RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,KIDN
EY TRANSPLANT,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR,RIRS
procedure"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Rajarajeswari Medical
college And Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Rajarajeswari Medical
college And Hospital
Kambipura Mysore Road
Bangalore 560074",8028437888,"insurancema
nager@rrmc
h.org","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,CAR
DIOLOGY,CARDIOTHORACI
C
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,OPHTHALMOLOGY,ORT
HOPAEDICS,POLYTRAUMA,
RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,KIDN
EY TRANSPLANT,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR,RIRS
procedure"
Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality
"Healthcare Global
Enterprises Ltd",Bengaluru,"BANGALO
RE",Bangalore,Private,"Healthcare Global
Enterprises Ltd  No44 45
2 2Nd Cross Raja
Rammohan Roy Extn Off
Lalbagh Double Road
Bangalore 560027",8040206000,"vasbio@hcg
